date,value
2013-09-01,1.94697
2013-10-01,1.64792
2013-11-01,2.70927
2013-12-01,3.76822
2014-01-01,1.8086
2014-02-01,1.9167
2014-03-01,2.85117
2014-04-01,5.04737
2014-05-01,4.32942
2014-06-01,4.73574
2014-07-01,4.36198
2014-08-01,4.70159
2014-09-01,3.54618
2014-10-01,3.90491
2014-11-01,3.02184
2014-12-01,1.67484
2015-01-01,-0.09269
2015-02-01,-0.23748
2015-03-01,0.67482
2015-04-01,-0.81849
2015-05-01,0.49691
2015-06-01,0.27175
2015-07-01,0.60139
2015-08-01,0.08988
2015-09-01,-0.00754
2015-10-01,-1.08769
2015-11-01,-0.24098
2015-12-01,0.37575
2016-01-01,1.66989
2016-02-01,1.01359
2016-03-01,0.4456
2016-04-01,1.62757
2016-05-01,0.86435
2016-06-01,1.6863
2016-07-01,-0.00374
2016-08-01,0.36296
2016-09-01,1.64837
2016-10-01,2.43819
2016-11-01,1.93629
2016-12-01,3.25191
2017-01-01,4.61182
2017-02-01,4.81566
2017-03-01,5.03526
2017-04-01,4.45865
2017-05-01,3.12465
2017-06-01,2.58745
2017-07-01,3.23569
2017-08-01,3.97435
2017-09-01,5.49577
2017-10-01,4.60115
2017-11-01,5.78369
2017-12-01,5.94741
2018-01-01,5.64783
2018-02-01,5.41031
2018-03-01,4.68558
2018-04-01,4.69661
2018-05-01,6.65868
2018-06-01,5.25005
2018-07-01,5.91024
2018-08-01,5.03084
2018-09-01,3.31352
2018-10-01,4.67832
2018-11-01,4.17936
2018-12-01,0.19703
2019-01-01,0.77402
2019-02-01,1.01483
2019-03-01,2.64138
2019-04-01,3.2003
2019-05-01,2.44956
2019-06-01,3.4283
2019-07-01,3.7556
2019-08-01,3.7998
2019-09-01,2.79868
2019-10-01,2.5693
2019-11-01,2.34183
2019-12-01,5.61286
2020-01-01,4.30122
2020-02-01,4.01512
2020-03-01,5.30135
2020-04-01,-8.95343
2020-05-01,-1.93604
2020-06-01,2.84729
2020-07-01,3.78434
2020-08-01,3.29233
2020-09-01,5.95171
2020-10-01,4.6704
2020-11-01,4.02823
2020-12-01,4.82786
2021-01-01,7.86804
2021-02-01,6.16508
2021-03-01,10.26991
2021-04-01,27.33592
2021-05-01,17.20962
2021-06-01,14.02926
2021-07-01,11.24052
2021-08-01,13.40232
2021-09-01,11.87871
2021-10-01,14.42202
2021-11-01,16.19592
2021-12-01,14.83547
2022-01-01,12.45221
2022-02-01,15.37038
2022-03-01,11.03492
2022-04-01,10.34017
2022-05-01,12.26164
2022-06-01,11.66163
2022-07-01,11.15739
2022-08-01,9.00769
2022-09-01,8.69237
2022-10-01,7.7882
2022-11-01,6.26035
2022-12-01,5.09592
2023-01-01,6.34612
2023-02-01,5.97968
2023-03-01,1.8657
2023-04-01,2.94753
2023-05-01,1.35886
2023-06-01,-0.19237
2023-07-01,1.76317
2023-08-01,3.36665
2023-09-01,3.8688
2023-10-01,3.09955
2023-11-01,2.80135
2023-12-01,4.46929
2024-01-01,1.55782
2024-02-01,1.0316
2024-03-01,3.75771
2024-04-01,2.60515
2024-05-01,3.27036
2024-06-01,3.0788
2024-07-01,3.31139
2024-08-01,1.68706
2024-09-01,1.74974
2024-10-01,1.56757
